id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
555,NB191,NB191,23,34,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
556,NB192,NB192,23,34,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
557,NB193,NB193,23,34,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
558,NB194,NB194,23,34,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
559,NB195,NB195,23,34,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
560,NB196,NB196,23,34,,Không đăng ký,2010,2010,,,20,1,1000,1,1000,,,
561,NB197,NB197,23,34,,Không đăng ký,2010,2010,,,20,1,1000,1,1000,,,
562,NB198,NB198,23,34,,Không đăng ký,2010,2010,,,20,1,1000,1,1000,,,
563,NB199,NB199,23,34,,Không đăng ký,2010,2010,,,20,1,1000,1,1000,,,
564,NB200,NB200,23,34,,Không đăng ký,2010,2010,,,20,1,1000,1,1000,,,
565,NB201,NB201,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
566,NB202,NB202,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
567,NB203,NB203,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
568,NB204,NB204,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
569,NB205,NB205,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
570,NB206,NB206,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
571,NB207,NB207,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
572,NB208,NB208,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
573,NB209,NB209,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
574,NB210,NB210,23,34,,Không đăng ký,2010,2010,,,2,1,1000,1,1000,,,
575,NB211,NB211,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
576,NB212,NB212,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
577,NB213,NB213,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
578,NB214,NB214,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
579,NB215,NB215,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
580,NB216,NB216,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
581,NB217,NB217,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
582,NB218,NB218,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
583,NB219,NB219,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
584,NB220,NB220,23,34,,Không đăng ký,2010,2010,,,6,1,1000,1,1000,,,
585,NB221,NB221,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
586,NB222,NB222,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
587,NB223,NB223,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
588,NB224,NB224,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
589,NB225,NB225,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
590,NB226,NB226,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
591,NB227,NB227,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
592,NB228,NB228,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
593,NB229,NB229,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
594,NB230,NB230,23,7,,Không đăng ký,2010,2010,,,5,1,1000,1,1000,,,
595,NB231,NB231,23,7,,Không đăng ký,2010,2010,,,18,18,1000,1,1000,,,
