id,category,tag,slug,created_at,updated_at
1,Phương Tiện,,bao-cao-thuc-luc,5/2/2015 10:17:37,5/2/2015 10:17:37
2,Vật Tư,,bao-cao-vat-tu,5/2/2015 10:17:37,5/2/2015 10:17:37
