id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id,created_at,updated_at
39,VTH-001,Q01,49,5,KE01,19MT-2614,2002,2002,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
40,VTH-002,Q02,49,5,KE02,19MT-2615,2000,2000,,,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
41,VTH-003,Q03,49,5,KE03,19MT-2616,2000,2000,,,2,16,1000,17,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
42,VTH-004,Q04,49,5,KE04,19MT-2617,2002,2002,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
43,VTH-005,Q05,49,5,KE05,19MT-2618,2005,2005,,,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
44,VTH-006,Q06,49,5,KE06,19MT-2619,2004,2004,,,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
45,VTH-007,Q07,49,5,KE07,19MT-2620,2004,2004,,,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
46,VTH-008,Q08,49,5,KE08,19MT-2621,2004,2004,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
47,VTH-009,Q09,49,5,KE09,19MT-2622,2005,2005,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
48,VTH-010,Q10,49,5,KE10,19MT-2623,2005,2005,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
49,VTH-011,Q11,49,5,KE11,19MT-2624,2007,2007,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
